amfi_code,Score,CAGR_3yr,Sharpe,Alpha,expense_ratio_pct,Max_DD
120505,84.5,0.30206534630200976,1.1801011976606492,0.293,1.36,-0.18188513572116294
100033,82.0,0.3362921056230763,1.0936987435346308,0.2723,1.38,-0.16217208574644848
119094,80.74999999999999,0.3606601747719518,0.9982309868636414,0.26,1.38,-0.20960883862039192
119598,78.875,0.27814418371202754,0.9453082575156094,0.3011,1.43,-0.2870600572176455
148567,78.5,0.3127857318272198,1.4482911703262602,0.2712,1.46,-0.11265729075028275
120843,76.0,0.2566188265022562,1.3067439695428407,0.2728,1.45,-0.1297396816518679
149324,74.1875,0.25029675402929885,0.9497958246616032,0.2982,1.52,-0.31171900300634214
120504,73.50000000000001,0.28369809430069837,1.0265242847993001,0.2121,0.8,-0.12588275606922517
119551,71.5625,0.27727427651752534,1.208266567372718,0.2322,1.54,-0.1501238549864533
148569,70.1875,0.23317122535147572,1.2349300257743299,0.2835,1.6,-0.1639674294693263
101206,66.9375,0.32528591355184844,1.0272133278753697,0.2139,1.6,-0.11291596329323073
149323,66.75,0.24242464971409516,1.1321218524747247,0.2658,1.61,-0.17248105753451382
118632,65.5625,0.18088593620415083,1.0816591793457044,0.2173,1.51,-0.17414075086657232
119552,61.25000000000001,0.15383382573944893,0.9532794968660105,0.1983,0.66,-0.11803493502764295
118633,60.56250000000001,0.18128823270614958,0.6452074382933216,0.155,0.72,-0.18629743138595511
125497,58.75,0.1770571225538371,0.7757902498211209,0.1789,0.92,-0.15200013055606398
120506,58.12500000000001,0.18246287427399865,0.6488787755249532,0.1628,1.41,-0.1982565826298267
119093,54.37499999999999,0.20575450839484977,0.1296144979566933,0.0833,0.75,-0.21751396370148224
102887,53.93750000000001,0.2566304169554934,0.6195175900829829,0.1618,1.64,-0.21539827112383225
148568,51.9375,0.13077495792463978,0.9262873467360146,0.2079,1.52,-0.1527259422823477
120503,50.624999999999986,0.1480416951560286,0.7979728586052847,0.1759,1.42,-0.13897862823061635
118635,50.0,0.16236841860639406,0.664856998549062,0.1516,0.89,-0.1165062450540909
102885,47.5,0.17520119946365442,0.8170993373494371,0.1699,1.57,-0.1085986215250232
125498,46.37499999999999,0.12492937768565682,0.3006119210425479,0.1206,0.78,-0.21117279560132118
118634,43.81250000000001,0.0758063522976058,0.44843400890899143,0.178,1.53,-0.2334488614483311
120841,42.625,0.16684258851596145,0.4942725378672354,0.1307,1.59,-0.1757361416468729
149322,41.4375,0.16528044392382957,0.4640374492204777,0.1313,1.54,-0.14844576917771746
120507,38.24999999999999,0.07051904540600296,0.49572339295331147,0.0675,0.74,-0.0009773140045925555
120842,34.62500000000001,0.10040620430039637,0.07599984804658912,0.0786,1.56,-0.24003511326274884
119599,34.4375,-0.006866124385353167,-0.05718662582818005,0.0506,0.72,-0.5257422117012851
120844,31.874999999999996,0.0654165743882027,-0.08874729621557495,0.0645,0.6,-0.0011629327956168556
101207,30.812500000000004,-0.026964750873929244,0.16266076928646758,0.1082,1.53,-0.3544691649336603
118636,26.625,0.04152061472814461,-0.3566295075143679,0.051,0.55,-0.08316361763638702
119095,26.5,-0.11065546853000663,-0.07597357117478937,0.0457,1.38,-0.5167775370852656
119120,25.999999999999996,0.05606028649588968,-0.2265753866279158,0.0558,0.77,-0.04328728923970093
100025,24.375,0.046143288414864925,-0.5670947928476847,0.0432,0.56,-0.04308263824636349
101208,24.125000000000004,0.060761500834302096,-0.8155673679088286,0.0608,0.79,-0.0016224980244717857
102886,20.812499999999996,-0.01832224809009908,-0.20583160785470306,0.0289,1.51,-0.2800112356639287
119092,20.5625,0.005559688070353008,0.030784850954585913,0.0697,1.64,-0.1440161790933726
100016,20.375,-0.00031627759670682654,-0.20151706755966933,0.0362,1.55,-0.24734440880673303
